####################################################################
                              LOG FILE                              
####################################################################

01:18   25/02/2020


0.065:      Running
0.0989:     Config file: config.in
0.1324:     Length units: ANG
0.1658:     Energy units: RY
0.2009:     Energy convergence: 5e-07 RY
0.2348:     Force convergence: 1e-05
0.2688:     Energy convergence: 5e-07 RY
0.4133:     Template file loaded
0.4475:     wd/template/input_template.in
0.5931:     Template k-points file loaded
0.6282:     wd/template/input_template_k.in
0.7968:     Cache used /opt/pwscf_cache/8fe3bba2bdd996a92f0d5073db93d17fc852e2498283aef2f40a4c5009d5f3374952acab9e8e8ab1c0c134e87cf357b6d6c8fbf101a140aa9d8ae0f13cb1ec17.out
1.0563:     Cache used /opt/pwscf_cache/0e1b4103b6e8b462f217f5f1771e7ead6236193a8d05ed03428ecba99515f66d35b078521f9ca86f586004cd176eab922f94d59273dadc1520ddf596082f38fc.out
1.316:      Cache used /opt/pwscf_cache/db4286682773e548a0572d598fa76220197a2252b43ba9eec9c1d5e8061ebee20ca04a145fa7501aa46019a838d2c16989de3f30cf829f791b2cb568d724f7c8.out
1.5765:     Cache used /opt/pwscf_cache/73e9b38a112c190b19cca2c18248b2180e6c35a161a96bdcd0ffc740ca48fef51278a303587ce6ec42468f2c389ab95a53e76552ebb54587b4f9ec58cd93ec2e.out
1.9142:     Cache used /opt/pwscf_cache/7c9c57edb4c8e9d73119a8808693893511ab721495d2947785a4a613cc5988233836083697ba9ce424535aa619836a93d0aba8f12d5c35860491c5cfc979956c.out
2.2468:     Cache used /opt/pwscf_cache/b184ec915c50dcd547724457c697fecbaa4433d45ad48d4670bb8de95237accd2f6d3ebb4554a682f060dd73e2a7a59f0dfa94e0179a9125e565d6ac2b7ae50a.out
2.6119:     Cache used /opt/pwscf_cache/4443c3a912dfaaeaa0838587f3c3f6d4953c00dff08498421c762a7bcafa4d1c7b4b09a6a201e515dfb31528afca3188b8f779b913450997a15ff10dbea28fba.out
2.7598:     ################################
2.8063:     Ecut Converge Stage 1
2.8526:     steps = 7
3.2375:     ecutwfc = 50.0
3.2833:     ecutrho = 200.0
3.3292:     ################################
3.3751:     
3.604:      Cache used /opt/pwscf_cache/b184ec915c50dcd547724457c697fecbaa4433d45ad48d4670bb8de95237accd2f6d3ebb4554a682f060dd73e2a7a59f0dfa94e0179a9125e565d6ac2b7ae50a.out
3.9601:     Cache used /opt/pwscf_cache/18b516758587265a8d1ab5985b4ca2a326dca15fb47e8b3fe6946b77d59d8b5451f9c56b9f70de84aaeb86edd63bf46436533160a6fa0ef75c0c35ce84d7c5f9.out
4.3925:     Cache used /opt/pwscf_cache/fef4a9384c3157ac3ee67c5aa6bae5afc7cde7b34a620152604d20a65ed5212069e02cde4b5f79e4ae0f3fdd40d8b90037d799958a0f9f1f21e61e6566607bda.out
4.8259:     Cache used /opt/pwscf_cache/58dba829ab0b153080911881282cc621334553cea0a87eb808865e8a09e02fa6e1d68a59a0e05cb87f12c3ff9847ce6fdf745feacb452517d553ec69e6ca4ca4.out
